arbetsgivare,typ,mottaget_datum,diarienummer,filnamn,format,avser_period,granskad,importerad,anteckning
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2022-12.xlsx,xlsx,2022-12,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2023-12.xlsx,xlsx,2023-12,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2024-12.xlsx,xlsx,2024-12,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-05.xlsx,xlsx,2025-05,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-06.xlsx,xlsx,2025-06,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-07.xlsx,xlsx,2025-07,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-08.xlsx,xlsx,2025-08,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-09.xlsx,xlsx,2025-09,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-10.xlsx,xlsx,2025-10,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-11.xlsx,xlsx,2025-11,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2025-12.xlsx,xlsx,2025-12,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-01.xlsx,xlsx,2026-01,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28; filen ovanligt liten (244 KB mot ~600 KB) – kontrollera fullständighet"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-02.xlsx,xlsx,2026-02,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-03.xlsx,xlsx,2026-03,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-04.xlsx,xlsx,2026-04,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-05.xlsx,xlsx,2026-05,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-06.xlsx,xlsx,2026-06,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
Region Västmanland,region,2026-07-28,,lonestatistik-vastmanland-2026-07.xlsx,xlsx,2026-07,nej,nej,"Öppen data, hämtad från regionvastmanland.se 2026-07-28"
